Project;Methodology;Phase;Activity;Task;Role;Artifact;Type;
1111;1;1;1;2;5;8;Write;
1111;1;1;1;2;5;9;Write;
1111;1;1;1;2;5;7;Write;
1111;1;1;1;2;5;7;Write;
1111;1;1;1;2;5;7;Write;
1111;1;1;1;2;5;7;Write;
1111;1;1;1;2;5;7;Write;
1111;1;1;1;2;5;7;Write;
1111;1;1;1;1;1;13;UploadGraph;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;10;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;
1111;1;1;1;1;1;14;Write;